date, Billions of US $, % of GDP,Change
12/31/60,2.530502531,6.8337,
12/31/61,2.337302337,5.9576,-9.7559
12/31/62,2.543102543,6.0318,3.9092
12/31/63,2.86020286,5.9068,3.392
12/31/64,3.210903211,5.685,3.3797
12/31/65,3.103737925,5.2116,-11.0562
12/31/66,3.06,6.6717,28.6223
12/31/67,2.981333333,5.9466,-3.9436
12/31/68,2.624,4.943,-14.361
12/31/69,2.356,4.0309,-13.0351
12/31/70,2.421333333,3.8789,17.915
12/31/71,2.695656848,4.0024,18.0285
12/31/72,2.650505782,3.7089,-1.8884
12/31/73,4.0391708,4.7233,8.0751
12/31/74,5.992025678,6.0206,-12.7581
12/31/75,6.545404119,6.6469,1.2795
12/31/76,6.280836401,6.1147,1.8962
12/31/77,7.611094891,6.2649,27.3956
12/31/78,9.045599669,6.5882,0.0491
12/31/79,12.49814274,8.1692,19.3208
12/31/80,17.22582607,9.245,14.3542
12/31/81,16.58454095,8.5712,10.0294
12/31/82,16.34348743,8.1426,3.4542
12/31/83,17.14005877,7.853,21.9842
12/31/84,16.39129118,7.726,-14.3301
12/31/85,17.7766519,7.6455,13.8709
12/31/86,17.48641145,7.0231,17.084
12/31/87,19.47719474,6.9802,-1.6682
12/31/88,22.11139279,7.4552,9.1945
12/31/89,24.13337814,8.152,2.0844
12/31/90,27.13207232,8.4529,3.3658
12/31/91,22.94135881,8.4935,0.0152
12/31/92,27.63968453,9.5902,21.1281
12/31/93,27.41939084,9.8173,19.2673
12/31/94,33.34957656,10.1901,22.6016
12/31/95,43.31843095,12.0235,28.1259
12/31/96,45.35728772,11.5443,-2.44
12/31/97,49.60749012,11.9287,13.2007
12/31/98,53.43158465,12.681,20.8456
12/31/99,61.31461986,13.3635,6.9925
12/31/00,65.12416412,13.9037,4.5897
12/31/01,65.21839408,13.4349,2.9442
12/31/02,78.49857766,15.2443,11.9968
12/31/03,95.07165007,15.6445,13.8839
12/31/04,139.310021,19.6447,22.1952
12/31/05,183.7361317,22.3964,32.2696
12/31/06,229.9550271,24.4565,21.5046
12/31/07,302.8037044,24.8866,9.9516
12/31/08,350.9270855,29.2709,22.4486
12/31/09,347.1776021,25.8724,-1.9258
12/31/10,449.9743208,26.8543,15.8119
12/31/11,566.6671536,31.0835,20.4117
12/31/12,571.306638,31.2593,6.0218
12/31/13,527.5554815,28.4133,-8.1458
12/31/14,529.2396793,25.9542,0.8712
12/31/15,465.0974747,22.1097,-5.85
12/31/16,480.1692849,20.9243,4.3819
12/31/17,582.0177236,21.9401,17.4146
12/31/18,639.013264,23.5523,8.5976
12/31/19,606.365563,21.1356,-6.8024
