Macrotrends Data Download

India Tariff Rates 1990-2021


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Applied, Weighted Mean, All Products (%), Annual Change, 
1990-12-31,56.36
1992-12-31,27.01,-29.35
1996-12-31,23.72,-3.29
1997-12-31,20.13,-3.59
1999-12-31,28.51,8.38
2000-12-31,23.36,-5.15
2001-12-31,26.51,3.15
2002-12-31,23.08,-3.43
2003-12-31,21.45,-1.63
2004-12-31,22.96,1.51
2005-12-31,13.9,-9.06
2006-12-31,8.99,-4.91
2007-12-31,11.99,3
2008-12-31,5.98,-6.01
2009-12-31,6.84,0.86
2010-12-31,6.1,-0.74
2011-12-31,7.33,1.23
2012-12-31,6.32,-1.01
2013-12-31,6.34,0.02
2015-12-31,7.32,0.98
2016-12-31,6.35,-0.97
2017-12-31,5.78,-0.57
2018-12-31,4.88,-0.9
