date, Trade (% of GDP), Annual Change, 
12/31/60,11.2968,,
12/31/61,10.2612,-1.04,
12/31/62,10.2008,-0.06,
12/31/63,10.1873,-0.01,
12/31/64,9.4105,-0.78,
12/31/65,8.519,-0.89,
12/31/66,10.8142,2.3,
12/31/67,9.9811,-0.83,
12/31/68,8.9817,-1,
12/31/69,7.7448,-1.24,
12/31/70,7.6618,-0.08,
12/31/71,7.6696,0.01,
12/31/72,7.7364,0.07,
12/31/73,8.9321,1.2,
12/31/74,10.8519,1.92,
12/31/75,12.294,1.44,
12/31/76,12.8012,0.51,
12/31/77,12.6481,-0.15,
12/31/78,12.903,0.25,
12/31/79,14.9188,2.02,
12/31/80,15.3846,0.47,
12/31/81,14.5073,-0.88,
12/31/82,14.1259,-0.38,
12/31/83,13.6906,-0.44,
12/31/84,14.0094,0.32,
12/31/85,12.9,-1.11,
12/31/86,12.2193,-0.68,
12/31/87,12.5848,0.37,
12/31/88,13.4905,0.91,
12/31/89,15.1681,1.68,
12/31/90,15.5063,0.34,
12/31/91,16.9877,1.48,
12/31/92,18.4331,1.45,
12/31/93,19.6515,1.22,
12/31/94,20.0781,0.43,
12/31/95,22.8674,2.79,
12/31/96,21.9295,-0.94,
12/31/97,22.6194,0.69,
12/31/98,23.6995,1.08,
12/31/99,24.8156,1.12,
12/31/00,26.9009,2.09,
12/31/01,25.9933,-0.91,
12/31/02,29.5087,3.52,
12/31/03,30.5924,1.08,
12/31/04,37.5038,6.91,
12/31/05,42.0017,4.5,
12/31/06,45.7245,3.72,
12/31/07,45.6863,-0.04,
12/31/08,53.3682,7.68,
12/31/09,46.2729,-7.1,
12/31/10,49.2552,2.98,
12/31/11,55.6239,6.37,
12/31/12,55.7937,0.17,
12/31/13,53.8441,-1.95,
12/31/14,48.9222,-4.92,
12/31/15,41.9229,-7,
12/31/16,40.0825,-1.84,
12/31/17,40.7228,0.64,
12/31/18,43.405,2.68,
12/31/19,39.5501,-3.85,
