state_name,pc91_lit_share,pc91_mlit_share,pc91_flit_share,pc01_lit_share,pc01_mlit_share,pc01_flit_share,pc91_urb_share,pc91_m_urb_share,pc91_f_urb_share,pc01_urb_share,pc01_m_urb_share,pc01_f_urb_share,pc91_work_share,pc91_mwork_share,pc91_fwork_share,pc01_work_share,pc01_mwork_share,pc01_fwork_share,pc91_ag_share,pc01_ag_share,pc91_td_el_dom,pc01_td_el_dom,pc91_td_el_ind,pc01_td_el_ind,pc91_td_polytech,pc01_td_polytech,pc91_td_medical,pc01_td_medical,pc91_td_engg,pc01_td_engg,pc91_td_law,pc01_td_law,pc91_td_city_dist,pc01_td_city_dist
andaman nicobar islands,0.490,0.546,0.409,0.608,0.661,0.530,,0.565,0.435,,0.554,0.446,0.344,,,0.337,,,0.314,0.258,11648.000,15772.000,153.000,141.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1190.000,1190.000
andhra pradesh,0.241,0.329,0.152,0.410,0.502,0.317,0.848,0.507,0.493,0.878,0.506,0.494,0.498,0.504,0.157,0.435,0.483,0.130,0.854,0.790,1715068.000,35351352.000,118161.000,1282042.000,96.000,722.000,15.000,148.000,19.000,747.000,5.000,94.000,60.038,43.152
arunachal pradesh,0.199,0.262,0.126,0.284,0.356,0.208,,0.580,0.420,,0.544,0.456,0.519,,,0.429,,,0.842,0.818,124611.000,144030.000,471.000,543.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,537.167,463.000
assam,0.385,0.463,0.301,0.501,0.575,0.422,,0.539,0.461,,0.530,0.470,0.335,,,0.272,,,0.770,0.620,175982.000,302194.000,5080.000,7453.000,7.000,9.000,3.000,3.000,3.000,3.000,13.000,14.000,141.344,106.117
bihar,0.249,0.365,0.124,0.341,0.455,0.220,0.736,0.543,0.457,0.662,0.535,0.465,0.322,0.420,0.062,0.258,0.382,0.058,0.889,0.783,848458.000,1179505.000,48024.000,59551.000,22.000,28.000,12.000,16.000,9.000,12.000,29.000,16.000,58.119,51.971
chandigarh,0.662,0.705,0.608,0.714,0.755,0.662,0.897,0.552,0.448,0.898,0.557,0.443,0.348,0.542,0.103,0.365,0.547,0.132,0.018,0.007,103793.000,774870.000,2441.000,11475.000,2.000,10.000,1.000,25.000,1.000,5.000,0.000,5.000,16.600,56.000
dadra nagar haveli,0.226,0.319,0.134,0.346,0.464,0.217,,0.550,0.450,,0.569,0.431,0.463,,,0.448,,,0.821,0.631,2027.000,7309.000,526.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,80.000,80.000
daman diu,0.569,0.671,0.459,0.651,0.739,0.529,,0.491,0.509,,0.495,0.505,0.337,,,0.407,,,0.251,0.124,13296.000,28383.000,642.000,1894.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,116.000,116.000
delhi,0.624,0.687,0.549,0.698,0.749,0.635,0.899,0.547,0.453,0.932,0.549,0.451,0.315,0.516,0.072,0.312,0.499,0.084,0.020,0.010,1409444.000,5603456.000,76704.000,112992.000,19.000,512.000,10.000,0.000,3.000,0.000,0.000,0.000,17.813,11.928
goa,0.609,0.694,0.522,0.697,0.766,0.626,,0.517,0.483,,0.518,0.482,0.348,,,0.312,,,0.405,0.208,81653.000,178608.000,2094.000,2760.000,1.000,1.000,0.000,1.000,0.000,0.000,2.000,1.000,160.370,158.985
gujarat,0.400,0.514,0.280,0.483,0.591,0.369,0.853,0.518,0.482,0.870,0.527,0.473,0.369,0.500,0.080,0.351,0.495,0.087,0.806,0.724,1943995.000,33392501.000,174677.000,119077.000,26.000,31.000,8.000,8.000,11.000,18.000,29.000,28.000,50.986,49.907
