,Country,Code,got_letter_back,letter_back_90_days,avg_days_get_letter_back,all_indexn_c,consistent,gdp_percent_change_2011_2016,2012_gdp,incpc_percent_change_2011_2016,2012_incpc,2012_voice,Country Code,labor_percent_change_2011_2016,2012_labor
0,Argentina,ARG,0.6,0.5,204.7,5.39693,2.17,0,13082.66433,1,10827.73081,0.295209914,ARG,6,18771887
1,Australia,AUS,0.9,0.7,96.2,1.802632,,-20,68012.1479,-19,53474.85056,1.499190331,AUS,7,12032034
2,Austria,AUT,0.8,0.3,166.8,3.521616,,-12,48567.69529,-13,39996.85954,1.448773026,AUT,5,4352268
3,Bahrain,BHR,0.5,0.2,258.1,4.403509,,0,23654.36959,15,19942.52541,-1.318024635,BHR,13,739594
4,Bangladesh,BGD,0.3,0,369,3.241228,4.73,63,883.1171296,60,876.3789377,-0.401940703,BGD,9,59278816
5,Barbados,BRB,1,0.9,57.9,2.370614,,3,16249.67395,5,13898.56005,1.132978678,BRB,1,151737
6,Belgium,BEL,0.9,0.4,136.6,2.725878,,-11,44673.11588,-10,36970.10815,1.349421859,BEL,3,4902501
7,Belize,BLZ,0.9,0.7,118.8,1.416667,3.47,10,4505.600593,20,3242.914999,0.695277274,BLZ,21,140786
8,Bolivia,BOL,0.7,0.4,191.5,5.752193,2.21,31,2609.880562,42,2025.871122,-0.081585295,BOL,5,4744735
9,Botswana,BWA,0.6,0.2,238.5,4.081141,4.54,-5,7050.573472,-14,5408.419654,0.532969713,BWA,18,900419
10,Brazil,BRA,0.8,0.6,137.5,3.059211,2.7,-34,12370.02445,-33,10786.69029,0.477906197,BRA,8,97603864
11,Bulgaria,BGR,0.7,0.4,191.1,4.572369,2.83,-3,7395.849803,-2,6211.65789,0.400915593,BGR,-2,3342114
12,Canada,CAN,1,0.9,54.3,2.085526,4,-19,52669.08996,-19,42991.13599,1.437505364,CAN,4,19250224
13,Chile,CHL,0.7,0.2,197.6,4.56579,3.53,-6,15351.54074,0,11951.2497,1.076945186,CHL,8,8423914
14,China,CHN,0.3,0.3,304.5,3.414474,3.84,45,6316.918318,52,5070.900825,-1.63794148,CHN,1,781065455
15,Colombia,COL,1,0.9,60.2,4.111842,2.87,-20,8050.255372,-12,6272.776682,-0.063991345,COL,10,23782561
16,Costa Rica,CRI,0.8,0.4,186.2,5.482456,3.33,30,10075.00462,27,9012.207241,1.088219762,CRI,7,2294368
17,Cote d'Ivoire,CIV,0,0,418.8,3.653509,2.78,67,1243.273487,76,1110.425076,-0.777749956,CIV,9,7080482
18,Croatia,HRV,0.9,0.9,106,3.622807,2.74,-15,13258.35985,-13,10606.18841,0.540830553,HRV,-3,1855060
19,Cyprus,CYP,0.7,0.6,160.1,3.675439,,-24,28912.15694,-30,25074.34672,1.022023559,CYP,3,589090
20,Czech Republic,CZE,1,1,52.3,4.059211,2.53,-15,19870.80121,-13,14335.45436,0.97037971,CZE,3,5269982
21,Denmark,DNK,1,0.9,58.5,2.548246,,-11,58507.50805,-9,48730.67218,1.674114227,DNK,2,2871547
22,Dominican Republic,DOM,0.9,0.8,93.9,4.081141,2.96,23,6110.366576,22,5597.933773,0.124592215,DOM,16,4215759
23,Ecuador,ECU,0.2,0.2,344.1,4.923245,2.23,17,5682.046108,20,4482.016816,-0.296114117,ECU,18,7012137
24,El Salvador,SLV,1,1,39,4.600877,2.5,17,3428.409332,9,2925.641328,-0.040193722,SLV,7,2628801
25,Estonia,EST,0.9,0.9,94.6,4.361842,3.62,5,17534.42135,10,13886.41989,1.111924648,EST,1,684569
26,Finland,FIN,1,0.9,51.6,3.138158,,-14,47710.79022,-14,38731.30501,1.60069716,FIN,0,2698827
27,France,FRA,0.9,0.5,127.8,3.234649,3.62,-15,40874.70039,-16,34395.24923,1.238105774,FRA,2,29982661
28,Georgia,GEO,0.7,0.3,205.6,3.085526,2.59,1,4421.818242,-3,3766.694219,0.021580778,GEO,-1,2080962
29,Germany,DEU,1,0.7,84.2,3.506579,2.92,-10,43858.36306,-10,36963.30735,1.393738031,DEU,3,41734548
30,Ghana,GHA,0,0,418.8,2.649123,3.37,23,1587.560932,33,1239.559337,0.431352198,GHA,11,11020771
31,Greece,GRC,0.9,0.6,117.6,3.991228,,-30,21915.19132,-26,18053.5418,0.700790524,GRC,-3,4944293
32,Guatemala,GTM,0.6,0.4,211.1,5.679825,2.54,29,3355.036919,28,2865.207269,-0.356138647,GTM,16,6048464
33,Honduras,HND,0.1,0,408.7,4.89693,2.86,12,2144.342363,10,1873.151543,-0.469777703,HND,23,3382395
34,Hungary,HUN,1,0.8,62.1,3.41886,3.47,-8,12950.68652,-3,9974.876094,0.749367654,HUN,9,4369588
35,Iceland,ISL,0.8,0.8,137.2,4.131579,,30,45995.54788,56,32308.96495,1.442950368,ISL,11,189218
36,India,IND,0.5,0.2,284.6,3.342105,2.88,19,1443.882435,20,1249.084798,0.399454206,IND,4,464760493
37,Indonesia,IDN,0.9,0.2,153.1,3.901316,2.28,-2,3694.35934,4,2771.878394,0.067612648,IDN,7,120696619
38,Ireland,IRL,0.9,0.7,107.4,2.626253,,21,48914.61753,5,32364.97192,1.322521329,IRL,3,2245011
39,Israel,ISR,0.9,0.6,107.7,3.304825,,11,32510.3453,12,27215.19581,0.644344866,ISR,12,3642686
40,Italy,ITA,0.8,0.4,173.4,4.041353,2.55,-20,35053.52624,-19,28560.67078,0.916809261,ITA,5,25033693
41,Jamaica,JAM,0.9,0.5,178.7,2.344298,,-5,5209.859264,-6,4724.662418,0.486024708,JAM,10,1322325
42,Japan,JPN,1,0.6,56.3,2.975877,,-20,48603.47665,-18,38608.28904,1.101295233,JPN,1,65639410
43,Jordan,JOR,0.5,0.5,238.1,3.52193,,8,3910.346894,9,3545.243182,-0.734492719,JOR,23,2049550
44,Kazakhstan,KAZ,0.8,0.5,146.2,4.758772,2.32,-34,12386.69927,-20,7966.920225,-1.176720738,KAZ,3,8893426
45,Kenya,KEN,0.7,0,295.6,3.087719,2.12,45,1136.869893,44,972.8544753,-0.28780365,KEN,24,18329694
46,Kuwait,KWT,0.7,0.7,155.9,3.877193,,-43,51979.12069,-37,44805.74298,-0.642977953,KWT,33,1827785
47,Latvia,LVA,0.7,0.6,158.6,3.929825,,4,13923.47398,5,10395.07126,0.775515556,LVA,-3,1041140
48,Lebanon,LBN,0.8,0.5,139.7,4.848684,,-1,7952.151239,0,6422.15113,-0.385833383,LBN,28,1912060
49,Lithuania,LTU,0.8,0.8,132.6,4.469298,2.49,4,14367.70942,3,12017.15113,0.92950964,LTU,-1,1484453
50,Luxembourg,LUX,1,1,68,3.556391,,-10,106749.0136,-18,61091.89405,1.649900675,LUX,17,255169
51,Malawi,MWI,0.2,0,414.7,2.953948,3.54,-41,391.5617052,-39,306.4121491,-0.206084371,MWI,17,6451308
52,Malaysia,MYS,0.4,0.4,275.9,2.342105,3.61,-6,10817.43171,-7,7909.917427,-0.346539199,MYS,16,13338673
53,Malta,MLT,0.9,0.4,122.8,2.438596,,11,22527.63676,,,1.165387988,MLT,20,186736
54,Mexico,MEX,0.9,0.8,112.9,4.708333,2.35,-14,10241.72783,-13,7898.576467,0.112745345,MEX,9,51365736
55,Morocco,MAR,1,0.9,61.7,4.710526,,-5,2912.658275,-5,2524.34403,-0.605667233,MAR,0,11761742
56,Mozambique,MOZ,0.6,0,294.8,4.486842,,-28,657.6446765,-31,536.4540894,-0.197661296,MOZ,12,10945404
57,Namibia,NAM,0.6,0,268.9,3.824562,4.68,-22,5942.29274,-21,5046.115262,0.378439128,NAM,15,803615
58,Netherlands,NLD,1,0.5,89.3,3.065789,,-15,50073.00566,-17,41930.29265,1.605585456,NLD,2,8961065
59,New Zealand,NZL,1,0.9,53.6,1.578947,,4,39973.38076,7,32270.4335,1.617722034,NZL,11,2362367
60,Nigeria,NGA,0,0,418.8,3.192983,2.95,-13,2723.822191,-1,2070.966466,-0.70021987,NGA,1,53686203
61,Norway,NOR,1,0.9,53.3,2.953947,,-30,101524.1419,-24,78169.50823,1.728163242,NOR,5,2671168
62,Pakistan,PAK,0.4,0,353.1,3.760965,3.16,17,1198.117637,19,1093.645596,-0.843582153,PAK,17,61250372
63,Panama,PAN,0,0,418.8,5.837719,2.94,53,10722.25235,49,9431.366482,0.469416946,PAN,16,1727014
64,Paraguay,PRY,0.5,0.5,232.5,5.905702,,0,5185.141549,3,4448.15818,-0.113736898,PRY,13,3164913
65,Peru,PER,0.5,0.4,241.2,5.600877,2.12,6,6528.971775,10,5411.378048,0.114262931,PER,5,16369958
66,Philippines,PHL,0.8,0,236.8,5,2.8,25,2694.305109,30,2689.939436,-0.02968674,PHL,10,40486054
67,Poland,POL,0.8,0.1,171.5,4.153509,3.18,-10,13097.27085,-11,11103.26132,1.064275742,POL,2,18227655
68,Portugal,PRT,0.9,0.5,122.6,3.925439,3.31,-14,20564.88986,-14,16384.42587,1.028528333,PRT,-4,5388428
69,Senegal,SEN,0.6,0.3,230.5,4.719298,3.38,-7,1317.779802,-8,1154.187556,-0.004189134,SEN,10,3584979
