Unemployment_Rate : Total
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Andhra Pradesh, 30-04-2018, M, 3.65, 17084469.00, 42.58
Andhra Pradesh, 31-05-2018, M, 4.01, 17078661.00, 42.66
Andhra Pradesh, 30-06-2018, M, 4.51, 16524370.00, 41.44
Andhra Pradesh, 31-07-2018, M, 5.25, 17438268.00, 44.01
Andhra Pradesh, 31-08-2018, M, 4.33, 17247277.00, 43.05
Andhra Pradesh, 30-09-2018, M, 4.88, 17200185.00, 43.11
Andhra Pradesh, 31-10-2018, M, 5.56, 15617337.00, 39.37
Andhra Pradesh, 30-11-2018, M, 5.24, 16856909.00, 42.29
Andhra Pradesh, 31-12-2018, M, 4.20, 17094902.00, 42.37
Andhra Pradesh, 31-01-2019, M, 5.21, 17525876.00, 43.83
Andhra Pradesh, 28-02-2019, M, 5.76, 15705618.00, 39.46
Andhra Pradesh, 31-03-2019, M, 5.17, 16300531.00, 40.64
Andhra Pradesh, 30-04-2019, M, 4.02, 17501776.00, 43.05
Andhra Pradesh, 31-05-2019, M, 4.36, 16787801.00, 41.38
Andhra Pradesh, 30-06-2019, M, 3.27, 16580510.00, 40.35
Andhra Pradesh, 31-07-2019, M, 4.29, 16744148.00, 41.12
Andhra Pradesh, 31-08-2019, M, 3.68, 17028869.00, 41.50
Andhra Pradesh, 30-09-2019, M, 5.41, 16990761.00, 42.11
Andhra Pradesh, 31-10-2019, M, 3.86, 16791781.00, 40.88
Andhra Pradesh, 30-11-2019, M, 5.14, 16066455.00, 39.59
Andhra Pradesh, 31-12-2019, M, 5.39, 17442360.00, 43.03
Andhra Pradesh, 31-01-2020, M, 5.48, 16635535.00, 41.02
Andhra Pradesh, 29-02-2020, M, 5.83, 16545652.00, 40.90
Andhra Pradesh, 31-03-2020, M, 5.79, 15881197.00, 39.18
Andhra Pradesh, 30-04-2020, M, 20.51, 11336911.00, 33.10
Andhra Pradesh, 31-05-2020, M, 17.43, 12988845.00, 36.46
Andhra Pradesh, 30-06-2020, M, 3.31, 19805400.00, 47.41
Andhra Pradesh, 31-07-2020, M, 8.34, 15431615.00, 38.91
Andhra Pradesh, 31-08-2020, M, 6.96, 15251776.00, 37.83
Andhra Pradesh, 30-09-2020, M, 6.40, 15220312.00, 37.47
